## Site coordinates,,,,
Region,Location,SiteAbb,lat,lon
Oban,Oban 1 dubh skeir,OBAN D1,56.36596,-5.621114
Oban,Dubh Skeir,OBAN D1,56.36655,-5.622367
Oban,Dubh Skier,OBAN D1,56.36655,-5.622367
Oban,Back island,OBAN D2,56.38256,-5.603264
Oban,Oban 2 W Kerrera,,56.39259,-5.579269
Oban,Kerrera,,56.39259,-5.579269
Oban,Oban 3 a Greggs West,,56.47776,-5.512942
Orkney,Orkney 3 S Grahamsay,,58.92633,-3.308969
Orkney,Billia Croo,ORK D2,58.93273,-3.343783
Orkney,Black cliff,ORK D2,58.93273,-3.343783
Orkney,Orkney 2 N Grahamsay,,58.93891,-3.292411
Orkney,Orkney 1 Warbeath,,58.95759,-3.337403
Orkney,N Grahamsay,,58.93891,-3.292411
Orkney,Warbeath,,58.95759,-3.337403
Orkney,EMEC test site,ORK D1,58.97346,-3.355233
Orkney,N Hoy,ORK D1,58.97346,-3.355233
Plymouth,Hillsea point,PLYM D1,50.29024,-4.045142
Plymouth,Plym 1 Hillsea,,50.29294,-4.047508
Plymouth,Stoke,,50.30082,-4.015303
Plymouth,Plym 2 Stoke,,50.30082,-4.015303
Plymouth,Mewstone,PLYM D2,50.30489,-4.109286
Plymouth,Plym 3 Mewstone,,50.306,-4.111642
Wales,Deep point,WALES D2,51.73858,-5.232942
Wales,High point,WALES 2,51.73858,-5.232942
Wales,Wales 3 - St Brides,,51.75564,-5.189267
Wales,Wales 2 - Millbay,,51.76811,-5.168242
Wales,Millbay,,51.76811,-5.168242
Wales,Wales 1 - Stack Rock,,51.77437,-5.174583
Wales,Stack rock,WALES D1,51.77533,-5.178925
Farnes,Crumstone,,55.62673,-1.59781
Farnes,Northern Hares,,55.64674,-1.61241
Farnes,Knox's Reef,,55.62336,-1.6484
St Abbs,White Heugh,,55.904662,-2.131614
St Abbs,Pettico Wick,,55.915673,-2.151022
St Abbs,Woody Rocks,,55.906633,-2.1285
