year,stormIndexSmooth
1944,-0.0895
1945,-0.0195
1946,-0.0778
1947,-0.2062
1948,-0.1245
1949,-0.142
1950,-0.1245
1951,-0.1245
1952,-0.0953
1953,-0.3288
1954,-0.4222
1955,-0.5097
1956,-0.5039
1957,-0.5564
1958,-0.6848
1959,-0.784
1960,-0.8074
1961,-0.8074
1962,-0.7724
1963,-0.8191
1964,-0.8132
1965,-0.8249
1966,-0.8949
1967,-0.7957
1968,-0.7082
1969,-0.5739
1970,-0.5272
1971,-0.6381
1972,-0.6965
1973,-0.6265
1974,-0.6556
1975,-0.5214
1976,-0.4514
1977,-0.3113
1978,-0.2529
1979,-0.3988
1980,-0.3696
1981,-0.2237
1982,-0.2004
1983,-0.072
1984,0.1031
1985,0.0272
1986,0.0973
1987,0.1615
1988,0.1498
1989,0.3774
1990,0.3016
1991,0.3424
1992,0.3891
1993,0.3891
1994,0.4241
1995,0.4066
1996,0.3658
1997,0.1732
1998,0.0214
1999,-0.0545
2000,-0.037
2001,-0.0545
2002,0.0039
2003,-0.0661
2004,-0.3346
2005,-0.3521
2006,-0.3638
2007,-0.4455
2008,-0.2879
2009,-0.2412
2010,-0.1362
2011,-0.2237
2012,-0.2763
2013,-0.3463
