lengthStipe,weightStipe
57.8,2.9
60.7,2.9
63.6,2.9
66.5,11.5
75.2,2.9
78.1,1.1
89.6,0.9
107,2.9
104.1,2.9
92.5,2.9
104.1,2.9
107,1.1
118.6,2.9
118.6,5.7
124.3,5.7
138.8,5.7
141.7,0.8
147.5,1.2
150.4,2.9
150.4,5.7
159,14.3
164.8,5.7
173.5,2.9
176.4,2.9
190.8,2.9
190.8,2.9
190.8,14.3
190.8,14.3
199.5,11.5
202.4,5.7
202.4,22.9
208.2,25.8
216.9,22.9
216.9,14.3
222.7,11.5
222.7,11.5
225.5,14.3
228.4,14.3
234.2,22.9
240,25.8
248.7,25.8
257.3,25.8
260.2,14.3
260.2,28.7
260.2,37.3
266,43
277.6,43
251.6,48.7
274.7,11.5
277.6,14.3
277.6,25.8
289.2,25.8
297.8,25.8
303.6,25.8
309.4,34.4
300.7,48.7
300.7,48.7
300.7,57.3
315.2,57.3
332.5,57.3
335.4,60.2
390.4,88.9
399,91.8
401.9,94.6
413.5,117.6
448.2,129
448.2,117.6
506,157.7
543.6,166.3
549.4,157.7
537.8,197.8
543.6,249.5
517.6,258.1
465.5,619.4
587,387.1
610.1,235.1
662.2,255.2
665.1,275.3
679.5,295.3
679.5,324
696.9,303.9
708.4,266.7
748.9,309.7
763.4,312.5
809.6,344.1
772,364.2
748.9,487.5
806.7,450.2
829.9,412.9
838.6,392.8
876.1,412.9
873.3,458.8
881.9,461.6
908,450.2
910.8,541.9
919.5,487.5
942.7,461.6
942.7,484.6
965.8,484.6
954.2,473.1
962.9,484.6
945.5,524.7
957.1,556.3
983.1,562
971.6,596.4
960,599.3
991.8,510.4
997.6,519
1009.2,648
1043.9,639.4
1046.7,645.2
1064.1,625.1
1067,587.8
1052.5,564.9
1043.9,562
1072.8,725.4
1107.5,877.4
1208.7,817.2
1321.4,731.2
1263.6,716.8
1246.3,671
1223.1,679.6
1257.8,668.1
1257.8,610.8
1275.2,599.3
1191.3,596.4
1185.5,599.3
1176.9,584.9
1159.5,556.3
1150.8,564.9
1133.5,576.3
1127.7,579.2
1130.6,602.2
1104.6,564.9
1043.9,539.1
1029.4,507.5
1000.5,484.6
1000.5,470.3
997.6,461.6
1026.5,412.9
1017.8,355.6
983.1,415.8
968.7,441.6
945.5,415.8
905.1,415.8
905.1,401.4
916.6,381.4
890.6,358.4
887.7,335.5
934,324
821.2,278.1
806.7,295.3
789.4,301.1
777.8,266.7
754.7,252.3
760.5,209.3
740.2,258.1
737.3,203.6
714.2,203.6
725.8,174.9
702.7,163.4
691.1,163.4
691.1,189.2
679.5,174.9
641.9,140.5
641.9,152
618.8,157.7
615.9,129
584.1,157.7
532,134.8
532,120.4
549.4,106.1
428,80.3
401.9,57.3
375.9,48.7
373,45.9
341.2,45.9
