weightStipe,weightFrond
0.3099,0.456
0.2479,0.6515
0.124,0.7166
0.124,0.9772
0.2479,1.0423
0.5579,0.6515
0.4959,1.0423
0.062,1.5635
0.186,1.5635
0.3719,1.5635
0.6818,1.4332
0.8058,1.1726
0.8678,1.4984
0.8678,1.6938
1.3017,1.4332
1.7355,1.3681
1.7975,1.3681
0.7438,1.6938
0.8678,2.0847
1.0537,2.4756
1.3636,2.215
1.6736,2.215
1.9215,2.0195
1.5496,2.4756
1.5496,2.8013
1.2397,2.8013
1.1777,3.0619
2.1074,3.0619
1.7355,3.3225
1.6736,3.5831
1.6736,4.0391
1.9835,4.1694
1.9835,4.3648
2.1074,5.0814
2.4793,4.8208
2.2314,3.5831
3.0992,3.9739
4.4628,4.2997
5.1446,6.0586
5.5165,8.013
7.1281,3.0619
0.3099,3.0619
0.186,2.4756
0.5579,2.5407
0.6818,2.8013
0.8058,3.3225
0.8058,3.5179
0.2479,4.3648
0.8678,4.8208
0.9917,4.886
1.7355,5.7329
2.1074,5.9283
1.0537,6.1238
1.5496,6.9055
2.1694,6.9707
3.0372,7.101
3.0372,8.013
2.9132,8.1433
2.5413,9.9023
2.0455,14.0717
2.9132,15.0489
5.0826,11.987
5.0826,10.228
7.9959,16.0912
