weightStipe,weightFrond
11.5385,33.7662
23.0769,35.0649
23.0769,45.4545
33.3333,37.6623
38.4615,61.039
46.1538,50.6494
58.9744,81.8182
76.9231,81.8182
83.3333,122.0779
82.0513,138.961
105.1282,131.1688
119.2308,123.3766
120.5128,154.5455
96.1538,175.3247
117.9487,196.1039
121.7949,207.7922
144.8718,190.9091
150,184.4156
156.4103,180.5195
162.8205,180.5195
164.1026,172.7273
169.2308,176.6234
169.2308,194.8052
164.1026,196.1039
175.641,196.1039
176.9231,220.7792
167.9487,227.2727
166.6667,218.1818
157.6923,216.8831
150,232.4675
156.4103,246.7532
189.7436,222.0779
191.0256,211.6883
203.8462,245.4545
225.641,235.0649
242.3077,255.8442
241.0256,277.9221
251.2821,287.013
251.2821,301.2987
342.3077,287.013
266.6667,197.4026
262.8205,205.1948
242.3077,201.2987
205.1282,205.1948
205.1282,201.2987
203.8462,196.1039
203.8462,189.6104
198.7179,185.7143
197.4359,170.1299
203.8462,148.0519
201.2821,132.4675
202.5641,123.3766
211.5385,80.5195
189.7436,92.2078
183.3333,124.6753
184.6154,151.9481
185.8974,170.1299
173.0769,163.6364
174.359,158.4416
175.641,149.3506
174.359,133.7662
167.9487,133.7662
162.8205,131.1688
157.6923,138.961
167.9487,87.013
157.6923,96.1039
150,97.4026
144.8718,97.4026
153.8462,114.2857
153.8462,120.7792
144.8718,120.7792
147.4359,116.8831
138.4615,107.7922
126.9231,110.3896
105.1282,101.2987
98.7179,80.5195
103.8462,72.7273
100,70.1299
108.9744,71.4286
111.5385,68.8312
117.9487,58.4416
105.1282,49.3506
88.4615,54.5455
78.2051,55.8442
79.4872,44.1558
76.9231,38.961
73.0769,35.0649
75.641,29.8701
92.3077,31.1688
58.9744,23.3766
55.1282,24.6753
51.2821,28.5714
56.4103,29.8701
53.8462,29.8701
50,33.7662
38.4615,35.0649
38.4615,27.2727
34.6154,24.6753
34.6154,16.8831
37.1795,14.2857
42.3077,18.1818
42.3077,24.6753
1.75,2.3196
3.5,3.6082
3.5,5.1546
5.25,6.1856
5.5,7.9897
5.5,7.9897
4,10.567
5,10.3093
6,9.0206
8,9.2784
7.25,10.0515
5.75,11.3402
7,11.3402
8,10.567
6.75,12.3711
6.75,15.2062
4.25,15.4639
9.25,13.4021
10,13.4021
10.25,14.6907
10.25,15.9794
9,20.6186
13.5,20.1031
19.25,21.3918
19.5,24.7423
20,25
21,27.0619
28,20.6186
27.75,21.6495
24,20.1031
23.75,18.0412
24.75,11.3402
20,16.4948
15.75,15.2062
16.25,12.3711
17,9.7938
13.25,11.3402
14.75,8.5052
14,9.0206
13.5,8.2474
12.5,8.2474
10,7.2165
