weightStipe,weightFrond
63.5135,60.793
136.4865,43.6123
127.027,84.5815
113.5135,95.1542
216.2162,99.1189
200,151.9824
206.7568,187.6652
236.4865,188.9868
270.2703,182.3789
264.8649,210.1322
235.1351,216.7401
291.8919,241.8502
308.1081,237.8855
332.4324,252.4229
350,318.5022
286.4865,397.7974
305.4054,326.4317
195.9459,346.2555
236.4865,253.7445
239.1892,240.5286
255.4054,248.4581
255.4054,244.4934
217.5676,216.7401
177.027,195.5947
171.6216,225.9912
166.2162,179.7357
168.9189,169.163
151.3514,153.304
147.2973,146.696
120.2703,129.5154
109.4595,128.1938
91.8919,113.6564
89.1892,212.7753
51.3514,171.8062
67.5676,118.9427
24.3243,109.6916
