weightStipe,weightFrond
13.2203,11.8227
32.5424,10.8374
34.5763,16.7488
37.6271,15.7635
53.8983,20.6897
55.9322,24.6305
60,24.6305
53.8983,29.5567
49.8305,39.4089
63.0508,31.5271
68.1356,35.468
66.1017,39.4089
90.5085,46.3054
87.4576,51.2315
75.2542,59.1133
74.2373,63.0542
78.3051,76.8473
86.4407,79.803
108.8136,78.8177
110.8475,87.6847
113.8983,92.6108
108.8136,103.4483
102.7119,121.1823
130.1695,95.5665
133.2203,72.9064
145.4237,125.1232
142.3729,183.2512
166.7797,115.2709
159.661,195.0739
173.8983,159.6059
180,135.9606
209.4915,143.8424
217.6271,144.8276
252.2034,172.4138
355.9322,142.8571
278.6441,156.6502
278.6441,152.7094
273.5593,143.8424
296.9492,125.1232
245.0847,122.1675
223.7288,123.1527
235.9322,107.3892
238.9831,96.5517
228.8136,66.0099
220.678,80.7882
200.339,81.7734
193.2203,85.7143
175.9322,89.6552
150.5085,70.936
145.4237,55.1724
145.4237,51.2315
135.2542,37.4384
133.2203,23.6453
130.1695,19.7044
124.0678,44.335
120,51.2315
114.9153,23.6453
111.8644,38.4236
108.8136,31.5271
102.7119,41.3793
90.5085,9.8522
84.4068,29.5567
77.2881,22.6601
72.2034,28.5714
56.9492,7.8818
46.7797,6.8966
