ageMin,weightStipe
1,49.4505
1,52.1978
1,71.4286
1,74.1758
1,68.6813
1,82.4176
2,49.4505
2,49.4505
2,49.4505
2,52.1978
2,60.4396
2,60.4396
2,52.1978
2,52.1978
2,60.4396
2,60.4396
2,60.4396
2,60.4396
2,60.4396
2,65.9341
2,65.9341
2,71.4286
2,74.1758
2,79.6703
2,79.6703
2,79.6703
2,90.6593
2,82.4176
3,5.4945
3,269.2308
4,228.022
4,101.6484
4,93.4066
4,87.9121
4,43.956
4,35.7143
4,27.4725
4,49.4505
5,71.4286
5,71.4286
5,82.4176
5,96.1538
5,104.3956
5,137.3626
5,148.3516
5,148.3516
5,189.5604
5,346.1538
6,137.3626
7,178.5714
7,236.2637
7,434.0659
7,500
8,321.4286
8,134.6154
1,0.5556
1,0.5556
1,1.1111
1,1.1111
1,1.1111
1,1.1111
1,5
1,7.2222
1,7.2222
1,6.6667
1,5.5556
1,5
1,2.7778
1,0.5556
1,0.5556
1,5
1,8.8889
1,9.4444
1,9.4444
1,9.4444
1,9.4444
1,12.7778
1,12.7778
1,12.7778
1,13.8889
1,13.8889
1,13.8889
1,13.8889
1,17.2222
1,17.2222
1,17.2222
1,17.2222
1,18.3333
1,18.3333
1,20.5556
1,20.5556
1,22.7778
1,22.7778
1,24.4444
1,24.4444
1,27.2222
1,27.7778
1,29.4444
1,29.4444
1,29.4444
1,29.4444
1,31.1111
1,31.1111
1,33.8889
1,36.6667
1,36.6667
1,40
1,40.5556
1,44.4444
2,47.2222
2,45
2,45
2,45
2,45
2,42.7778
2,40.5556
2,40.5556
2,32.2222
2,32.2222
2,32.2222
2,32.2222
2,30.5556
2,30.5556
2,30.5556
2,29.4444
2,29.4444
2,24.4444
2,24.4444
2,20.5556
2,20.5556
2,20.5556
2,20.5556
2,20.5556
2,20
2,17.7778
2,17.7778
2,17.7778
2,14.4444
2,14.4444
2,14.4444
2,12.7778
2,12.7778
2,11.6667
2,11.6667
2,11.6667
2,8.3333
2,8.3333
2,8.3333
2,2.7778
2,2.7778
2,2.7778
2,7.2222
2,1.1111
