day,growthStipe,ageGroup
225.1909,5.4208,0
268.2091,0.8533,0
310.4,1.8571,0
352.5909,4.417,1
35.7455,6.6255,1
77.9364,8.4826,1
120.9545,12.749,1
159.0091,8.8842,1
193.7545,4.6178,1
265.7273,4.2162,1
310.4,1.6062,1
351.7636,8.2819,2
34.0909,11.8958,2
76.2818,8.1313,2
120.1273,9.8378,2
159.0091,8.5328,2
188.7909,3.4131,2
226.8455,1.9073,2
265.7273,0.7027,2
311.2273,0.7027,2
352.5909,4.0154,3
34.0909,7.3784,3
76.2818,3.7645,3
120.1273,2.3591,3
159.0091,1.8069,3
194.5818,0.5521,3
266.5545,0.251,3
311.2273,0.1506,3
96.1364,0.8533,4
140.8091,1.4054,4
182.1727,0.6525,4
229.3273,0.251,4
274.8273,0.7529,4
