day,PAR,location
1,59.05,N Scotland (A)
2,56.79,N Scotland (A)
3,77.23,N Scotland (A)
4,40.63,N Scotland (A)
5,26.14,N Scotland (A)
6,26.14,N Scotland (A)
7,74.26,N Scotland (A)
8,26.02,N Scotland (A)
9,50.5,N Scotland (A)
10,60.59,N Scotland (A)
11,46.46,N Scotland (A)
12,50.26,N Scotland (A)
13,53.35,N Scotland (A)
14,57.86,N Scotland (A)
1,85.66,W Scotland (B)
2,16.4,W Scotland (B)
3,66.77,W Scotland (B)
4,17.47,W Scotland (B)
5,35.29,W Scotland (B)
6,89.47,W Scotland (B)
7,23.88,W Scotland (B)
8,63.45,W Scotland (B)
9,42.42,W Scotland (B)
10,61.43,W Scotland (B)
11,37.9,W Scotland (B)
12,21.5,W Scotland (B)
13,77.47,W Scotland (B)
14,28.63,W Scotland (B)
1,17.23,SW Wales (C)
2,26.38,SW Wales (C)
3,72.48,SW Wales (C)
4,84.48,SW Wales (C)
5,20.91,SW Wales (C)
6,37.54,SW Wales (C)
7,31.49,SW Wales (C)
8,81.74,SW Wales (C)
9,82.69,SW Wales (C)
10,72.59,SW Wales (C)
11,78.65,SW Wales (C)
12,67.6,SW Wales (C)
13,45.98,SW Wales (C)
14,70.93,SW Wales (C)
1,69.74,SW England (D)
2,61.43,SW England (D)
3,79.13,SW England (D)
4,77.58,SW England (D)
5,36.36,SW England (D)
6,67.72,SW England (D)
7,91.6,SW England (D)
8,88.99,SW England (D)
9,62.85,SW England (D)
10,27.8,SW England (D)
11,38.02,SW England (D)
12,62.38,SW England (D)
13,50.02,SW England (D)
14,76.28,SW England (D)
