depth,metric,mean,se,location,scale
2,density canopy,13.38,0.85,N Scotland (A),per m2
5,density canopy,11.06,0.6,N Scotland (A),per m2
10,density canopy,9,0.61,N Scotland (A),per m2
15,density canopy,5.25,0.39,N Scotland (A),per m2
2,density canopy,8.94,0.62,W Scotland (B),per m2
5,density canopy,7.38,0.56,W Scotland (B),per m2
10,density canopy,4.56,0.43,W Scotland (B),per m2
15,density canopy,0.19,0.14,W Scotland (B),per m2
2,density canopy,13.44,1.13,SW Wales (C),per m2
5,density canopy,7,0.85,SW Wales (C),per m2
10,density canopy,2,0.43,SW Wales (C),per m2
15,density canopy,0,0,SW Wales (C),per m2
2,density canopy,16.69,0.75,SW England (D),per m2
5,density canopy,13.38,0.82,SW England (D),per m2
10,density canopy,2.31,0.67,SW England (D),per m2
15,density canopy,0,0,SW England (D),per m2
2,density total,46.19,3.39,N Scotland (A),per m2
5,density total,33.88,3.06,N Scotland (A),per m2
10,density total,24.69,1.32,N Scotland (A),per m2
15,density total,15.63,0.86,N Scotland (A),per m2
2,density total,25.63,1.9,W Scotland (B),per m2
5,density total,21.31,1.27,W Scotland (B),per m2
10,density total,13.63,1,W Scotland (B),per m2
15,density total,0.81,0.28,W Scotland (B),per m2
2,density total,42.62,2.52,SW Wales (C),per m2
5,density total,22.06,2.8,SW Wales (C),per m2
10,density total,3.88,0.52,SW Wales (C),per m2
15,density total,0,0,SW Wales (C),per m2
2,density total,51.69,4.54,SW England (D),per m2
5,density total,28.31,1.83,SW England (D),per m2
10,density total,6.38,1.07,SW England (D),per m2
15,density total,0,0,SW England (D),per m2
2,cover canopy,100,0,N Scotland (A),per m2
5,cover canopy,100,0,N Scotland (A),per m2
10,cover canopy,98.75,1.25,N Scotland (A),per m2
15,cover canopy,81.25,5.69,N Scotland (A),per m2
2,cover canopy,98.13,1.01,W Scotland (B),per m2
5,cover canopy,93.13,4.16,W Scotland (B),per m2
10,cover canopy,65.31,5.54,W Scotland (B),per m2
15,cover canopy,2.81,2.04,W Scotland (B),per m2
2,cover canopy,96.88,3.13,SW Wales (C),per m2
